Season,Year,League,Team,C,F1,F2,G1,G2
1997-98,1997,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Karl Malone ,Michael Jordan ,Gary Payton 
1997-98,1997,NBA,2nd,David Robinson ,Vin Baker ,Grant Hill ,Tim Hardaway ,Rod Strickland 
1997-98,1997,NBA,3rd,Dikembe Mutombo ,Scottie Pippen ,Glen Rice ,Reggie Miller ,Mitch Richmond 
1996-97,1996,NBA,1st,Hakeem Olajuwon ,Grant Hill ,Karl Malone ,Tim Hardaway ,Michael Jordan 
1996-97,1996,NBA,2nd,Patrick Ewing ,Scottie Pippen ,Glen Rice ,Gary Payton ,Mitch Richmond 
1996-97,1996,NBA,3rd,Shaquille O'Neal ,Vin Baker ,Anthony Mason ,Anfernee Hardaway ,John Stockton 
1995-96,1995,NBA,1st,David Robinson ,Karl Malone ,Scottie Pippen ,Anfernee Hardaway ,Michael Jordan 
1995-96,1995,NBA,2nd,Hakeem Olajuwon ,Grant Hill ,Shawn Kemp ,Gary Payton ,John Stockton 
1995-96,1995,NBA,3rd,Shaquille O'Neal ,Charles Barkley ,Juwan Howard ,Reggie Miller ,Mitch Richmond 
1994-95,1994,NBA,1st,David Robinson ,Karl Malone ,Scottie Pippen ,Anfernee Hardaway ,John Stockton 
1994-95,1994,NBA,2nd,Shaquille O'Neal ,Charles Barkley ,Shawn Kemp ,Gary Payton ,Mitch Richmond 
1994-95,1994,NBA,3rd,Hakeem Olajuwon ,Dennis Rodman ,Detlef Schrempf ,Clyde Drexler ,Reggie Miller 
1993-94,1993,NBA,1st,Hakeem Olajuwon ,Karl Malone ,Scottie Pippen ,Latrell Sprewell ,John Stockton 
1993-94,1993,NBA,2nd,David Robinson ,Charles Barkley ,Shawn Kemp ,Kevin Johnson ,Mitch Richmond 
1993-94,1993,NBA,3rd,Shaquille O'Neal ,Derrick Coleman ,Dominique Wilkins ,Gary Payton ,Mark Price 
1992-93,1992,NBA,1st,Hakeem Olajuwon ,Charles Barkley ,Karl Malone ,Michael Jordan ,Mark Price 
1992-93,1992,NBA,2nd,Patrick Ewing ,Larry Johnson ,Dominique Wilkins ,Joe Dumars ,John Stockton 
1992-93,1992,NBA,3rd,David Robinson ,Derrick Coleman ,Scottie Pippen ,Tim Hardaway ,Drazen Petrovic
1991-92,1991,NBA,1st,David Robinson ,Karl Malone ,Chris Mullin ,Clyde Drexler ,Michael Jordan 
1991-92,1991,NBA,2nd,Patrick Ewing ,Charles Barkley ,Scottie Pippen ,Tim Hardaway ,John Stockton 
1991-92,1991,NBA,3rd,Brad Daugherty ,Dennis Rodman ,Kevin Willis ,Kevin Johnson ,Mark Price 
1990-91,1990,NBA,1st,David Robinson ,Charles Barkley ,Karl Malone ,Magic Johnson ,Michael Jordan 
1990-91,1990,NBA,2nd,Patrick Ewing ,Chris Mullin ,Dominique Wilkins ,Clyde Drexler ,Kevin Johnson 
1990-91,1990,NBA,3rd,Hakeem Olajuwon ,Bernard King ,James Worthy ,Joe Dumars ,John Stockton 
1989-90,1989,NBA,1st,Patrick Ewing ,Charles Barkley ,Karl Malone ,Magic Johnson ,Michael Jordan 
1989-90,1989,NBA,2nd,Hakeem Olajuwon ,Larry Bird ,Tom Chambers ,Kevin Johnson ,John Stockton 
1989-90,1989,NBA,3rd,David Robinson ,Chris Mullin ,James Worthy ,Clyde Drexler ,Joe Dumars 
1988-89,1988,NBA,1st,Hakeem Olajuwon ,Charles Barkley ,Karl Malone ,Magic Johnson ,Michael Jordan 
1988-89,1988,NBA,2nd,Patrick Ewing ,Tom Chambers ,Chris Mullin ,Kevin Johnson ,John Stockton 
1988-89,1988,NBA,3rd,Robert Parish ,Terry Cummings ,Dominique Wilkins ,Dale Ellis ,Mark Price 
